Date,Open,High,Low,Close,Adj Close,Volume
3/1/2018,155.529999,156.970001,152.789993,153.809998,146.891281,4039300
3/2/2018,152.789993,154.759995,151.880005,154.490005,147.540726,3261100
3/5/2018,154.119995,157.490005,153.75,156.949997,149.890045,3670600
3/6/2018,157.279999,157.889999,155.160004,155.720001,148.715378,3685700
3/7/2018,155,158.830002,154.729996,158.320007,151.198456,4607700
3/8/2018,159,159.570007,155.070007,156.210007,149.18335,6455600
3/9/2018,157.470001,159.580002,157.300003,159.309998,152.143906,5022200
3/12/2018,159.639999,161.020004,158.869995,160.259995,153.051163,5063500
3/13/2018,160.089996,162.110001,158.809998,159.320007,152.153442,4185600
3/14/2018,160.169998,160.679993,157.740005,158.119995,151.007431,3631800
3/15/2018,158.710007,161.25,158.520004,159.610001,152.430389,3870600
3/16/2018,160.059998,161.979996,159.639999,160.259995,153.051163,9262700
3/19/2018,159.710007,159.889999,156.449997,157.350006,150.272064,5482000
3/20/2018,157.520004,157.929993,155.289993,156.199997,149.173782,4336700
3/21/2018,156.570007,158.199997,155.919998,156.690002,149.641754,3482200
3/22/2018,155,155.25,152,152.089996,145.248657,4746300
3/23/2018,152.25,152.580002,148.539993,148.889999,142.192627,4440900
3/26/2018,151.210007,153.660004,150.279999,153.369995,146.471085,4103900
3/27/2018,153.949997,154.869995,151.160004,151.910004,145.076767,3883700
3/28/2018,152.070007,153.860001,151.889999,152.520004,145.659332,3664800
3/29/2018,153.070007,153.889999,151.080002,153.429993,146.528397,3420000
4/2/2018,153.339996,153.380005,148.429993,150.070007,143.319534,5150400
4/3/2018,150.800003,151,148.300003,149.850006,143.109436,4135700
4/4/2018,147.889999,154.470001,147.449997,154.119995,147.187363,4805300
4/5/2018,154.440002,154.919998,153.339996,154.029999,147.101395,3185400
4/6/2018,153.460007,153.949997,149.539993,150.570007,143.797058,3672900
4/9/2018,151.800003,154.660004,151.740005,152.690002,145.821686,4413200
4/10/2018,155.029999,156.600006,154.75,155.389999,148.400238,3806400
4/11/2018,154.369995,155.779999,153.880005,155.360001,148.371582,3306500
4/12/2018,156.75,158.979996,156.669998,158.070007,150.959686,5639400
4/13/2018,158.669998,159.220001,155.910004,156.710007,149.660858,4057100
4/16/2018,157.990005,159.139999,157.669998,157.889999,150.787766,4186800
4/17/2018,158.820007,162,158.509995,160.910004,153.671936,10207500
4/18/2018,152.139999,152.630005,148.259995,148.789993,142.097107,20381700
4/19/2018,149.190002,149.210007,146.619995,147.699997,141.056152,8086100
4/20/2018,147.899994,147.970001,144.509995,144.899994,138.38208,8265600
4/23/2018,145.029999,145.960007,144.330002,145.860001,139.29892,5315600
4/24/2018,146.509995,147.300003,144.529999,145.559998,139.012405,4916500
4/25/2018,145.789993,146.399994,144.110001,145.940002,139.37532,7326400
4/26/2018,146.600006,147.360001,146.199997,146.720001,140.120209,4265800
4/27/2018,146.839996,147.25,145.660004,146.479996,139.891037,3205500
4/30/2018,146.860001,147.380005,144.960007,144.960007,138.439392,4415500
5/1/2018,144.649994,145.020004,143.470001,145,138.477585,4433400
5/2/2018,144.460007,144.820007,142.070007,142.449997,136.042297,5194900
5/3/2018,142.130005,142.229996,139.899994,141.990005,135.602997,5018600
